,address,area,bedrooms,city,postal_code,posting_date,price,property_type,rooms,sale_date,url,year_built
0,Eastonstraat 63,,,,1068 JB,10-5-2016,,apartment,,6-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49738479-eastonstraat-63/,
1,Werkendamstraat 47,,,,1107 KK,3-3-2014,,apartment,,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-84301519-werkendamstraat-47/,
2,Westerlengte 171,,,,1034 TC,15-3-2016,,apartment,,7-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49778705-westerlengte-171/,
3,Laplacestraat 37 -hs,,,,1098 HR,13-5-2016,,apartment,,23-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49732866-laplacestraat-37-hs/,
4,Oostenburgergracht 8,,,,1018 NA,16-6-2016,,house,,15-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49881414-oostenburgergracht-8/,
5,KNSM-laan 722,,,,1019 LS,17-6-2016,,apartment,,15-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85247259-knsm-laan-722/,
6,Eikenweg 58 D,,,,1092 CB,7-6-2016,,apartment,,17-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49870135-eikenweg-58-d/,
7,Binnengasthuisstraat 44,,,,1012 ZD,9-6-2016,,apartment,,12-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49871385-binnengasthuisstraat-44/,
8,Anna Blamansingel 145,,,,1102 SV,25-2-2016,,apartment,,30-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49759518-anna-blamansingel-145/,
9,Admiraal De Ruijterweg 401 II,,,,1055 MD,31-5-2016,,apartment,,13-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49862126-admiraal-de-ruijterweg-401-ii/,
10,Wamelstraat 3,,,,1106 DL,5-3-2016,,apartment,,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49768227-wamelstraat-3/,
11,Diopter 134,,,,1025 MT,24-5-2016,,house,,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49743170-diopter-134/,
12,Oostakkerstraat 73,,,,1066 HR,4-9-2015,,apartment,,22-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49589512-oostakkerstraat-73/,
