app,installs,type,content,genre,version,reviews,rating,size,price
Diário Escola Mestres EF,"1,000+",Free,Everyone,Education,4.0 and up,11,,6.6,0
WeFi - Free Fast WiFi Connect & Find Wi-Fi Map,"1,000,000+",Free,Everyone,Communication,4.0 and up,13469,4,5.1,0
Discovery K!ds Play! Español,"1,000,000+",Free,Everyone,Entertainment;Music & Video,4.0.3 and up,11263,4.2,35,0
Skyscanner,"10,000,000+",Free,Everyone,Travel & Local,4.4 and up,481546,4.5,29,0
Skyscanner,"10,000,000+",Free,Everyone,Travel & Local,4.4 and up,481546,4.5,29,0
Skyscanner,"10,000,000+",Free,Everyone,Travel & Local,4.4 and up,481546,4.5,29,0
Skyscanner,"10,000,000+",Free,Everyone,Travel & Local,4.4 and up,481546,4.5,29,0
Skyscanner,"10,000,000+",Free,Everyone,Travel & Local,4.4 and up,481546,4.5,29,0
Rosetta Stone: Learn to Speak & Read New Languages,"5,000,000+",Free,Everyone,Education;Education,5.0 and up,172508,4.5,76,0
Rosetta Stone: Learn to Speak & Read New Languages,"5,000,000+",Free,Everyone,Education;Education,5.0 and up,172508,4.5,76,0
Rosetta Stone: Learn to Speak & Read New Languages,"5,000,000+",Free,Everyone,Education;Education,5.0 and up,172508,4.5,76,0
Rosetta Stone: Learn to Speak & Read New Languages,"5,000,000+",Free,Everyone,Education;Education,5.0 and up,172508,4.5,76,0
Learn C++,"1,000,000+",Free,Everyone,Education,4.0 and up,73404,4.6,5.3,0
Learn C++,"1,000,000+",Free,Everyone,Education,4.0 and up,73404,4.6,5.3,0
Funny Jokes,"100,000+",Free,Mature 17+,Entertainment,4.1 and up,2505,3.9,2.9,0
Java Editor CR,"50,000+",Free,Everyone,Tools,4.0 and up,434,3.8,18,0
Bowmasters,"50,000,000+",Free,Teen,Action,4.1 and up,1535084,4.7,,0
Bowmasters,"50,000,000+",Free,Teen,Action,4.1 and up,1535084,4.7,,0
Bowmasters,"50,000,000+",Free,Teen,Action,4.1 and up,1535084,4.7,,0
Bowmasters,"50,000,000+",Free,Teen,Action,4.1 and up,1535084,4.7,,0
Bowmasters,"50,000,000+",Free,Teen,Action,4.1 and up,1535084,4.7,,0
Bowmasters,"50,000,000+",Free,Teen,Action,4.1 and up,1535084,4.7,,0
Golf Channel,"1,000,000+",Free,Everyone,Sports,4.1 and up,19230,4.1,88,0
Jewels Star: OZ adventure,"1,000,000+",Free,Everyone,Puzzle,4.0 and up,21892,4.5,14,0
Jewels Star: OZ adventure,"1,000,000+",Free,Everyone,Puzzle,4.0 and up,21892,4.5,14,0
Funny Ringtones,"1,000,000+",Free,Everyone 10+,Personalization,4.0 and up,7146,4.4,14,0
Millionaire Match: Rich Singles Dating App,"100,000+",Free,Mature 17+,Dating,4.1 and up,852,3.9,27,0
Millionaire Match: Rich Singles Dating App,"100,000+",Free,Mature 17+,Dating,4.1 and up,852,3.9,27,0
Snapchat,"500,000,000+",Free,Teen,Social,Varies with device,17014705,4,,0
Snapchat,"500,000,000+",Free,Teen,Social,Varies with device,17014705,4,,0
Snapchat,"500,000,000+",Free,Teen,Social,Varies with device,17014705,4,,0
Snapchat,"500,000,000+",Free,Teen,Social,Varies with device,17014705,4,,0
QR Scanner & Barcode Scanner 2018,"10,000,000+",Free,Everyone,Productivity,4.4 and up,8211,3.8,4.1,0
QR Scanner & Barcode Scanner 2018,"5,000,000+",Free,Everyone,Productivity,4.4 and up,8211,3.8,4.1,0
