app,category,rating,reviews,size_mb,installs,type,price,content_rating,genre,updated,version,android
Samsung Calculator,TOOLS,4.4,9602,2.5,100000000,Free,0,Everyone,Tools,"July 5, 2018",6.0.61.5,7.0 and up
Advanced Task Killer,PRODUCTIVITY,4.4,577059,1.5,50000000,Free,0,Everyone,Productivity,"August 7, 2016",2.2.1B216,2.3.3 and up
QR Code Reader,TOOLS,4,495971,2.7,50000000,Free,0,Everyone,Tools,"March 16, 2016",2.3,2.3.3 and up
CM Security Lite - Antivirus,TOOLS,4.6,262076,1.2,10000000,Free,0,Everyone,Tools,"January 4, 2018",1.0.2,2.3 and up
DuraSpeed,TOOLS,3.8,5431,1.3,10000000,Free,0,Everyone,Tools,"November 13, 2017",1.5.0,6.0 and up
Google Assistant,PRODUCTIVITY,4.2,58675,1.3,10000000,Free,0,Everyone,Productivity,"March 9, 2018",0.1.187945513,5.0 and up
CPU-Z,TOOLS,4.5,295430,1.4,10000000,Free,0,Everyone,Tools,"April 17, 2018",1.26,2.2 and up
Sound Meter,TOOLS,4.7,88993,1.5,10000000,Free,0,Everyone,Tools,"June 10, 2018",3.2.6,2.3 and up
HD Camera Ultra,PHOTOGRAPHY,4.3,462152,1.5,10000000,Free,0,Everyone,Photography,"October 17, 2015",2.3.1,Varies with device
All Video Downloader,VIDEO_PLAYERS,3.8,165723,1.6,10000000,Free,0,Everyone,Video Players & Editors,"August 4, 2018",7.5.9,4.0 and up
ASUS Quick Memo,PRODUCTIVITY,4.5,23089,1.6,10000000,Free,0,Everyone,Productivity,"April 11, 2018",1.10.0.33_180403,5.0 - 8.0
Wifi Analyzer,TOOLS,4.4,335115,1.8,10000000,Free,0,Everyone,Tools,"April 7, 2018",3.11.2,6.0 and up
Background Eraser,PHOTOGRAPHY,4.5,267378,1.9,10000000,Free,0,Everyone,Photography,"July 11, 2015",1.4.6,4.0 and up
Open Camera,PHOTOGRAPHY,4.3,116880,2,10000000,Free,0,Everyone,Photography,"April 23, 2018",1.43.3,4.0.3 and up
Open Camera,PHOTOGRAPHY,4.3,116769,2,10000000,Free,0,Everyone,Photography,"April 23, 2018",1.43.3,4.0.3 and up
Open Camera,PHOTOGRAPHY,4.3,116880,2,10000000,Free,0,Everyone,Photography,"April 23, 2018",1.43.3,4.0.3 and up
Wallpapers HD,PERSONALIZATION,4.6,484981,2.1,10000000,Free,0,Everyone,Personalization,"November 28, 2016",1.7.1,3.0 and up
Portable Wi-Fi hotspot,COMMUNICATION,3.9,138129,2.1,10000000,Free,0,Everyone,Communication,"May 6, 2018",1.5.2.4-23,2.3 and up
Download Manager,TOOLS,3.8,79132,2.2,10000000,Free,0,Everyone,Tools,"January 3, 2018",1.1.6,2.3 and up
Download All Files,TOOLS,3.8,120494,2.3,10000000,Free,0,Everyone,Tools,"June 13, 2018",2.0.7,4.1 and up
Dino T-Rex,GAME,4,69115,2.4,10000000,Free,0,Everyone,Arcade,"June 13, 2018",1.36,4.1 and up
Smart Keyboard Trial,TOOLS,4.1,65597,2.4,10000000,Free,0,Everyone,Tools,"April 28, 2017",4.20.1,2.3 and up
My Boy! Free - GBA Emulator,GAME,4.3,531074,2.5,10000000,Free,0,Everyone,Arcade,"January 9, 2018",Varies with device,Varies with device
Notepad,PRODUCTIVITY,4.2,80581,2.5,10000000,Free,0,Everyone,Productivity,"October 16, 2016",2.4,2.3 and up
"PhotoLayers〜Superimpose,Eraser",PHOTOGRAPHY,4.5,81219,2.6,10000000,Free,0,Everyone,Photography,"June 14, 2015",1.4.0,4.1 and up
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7,10000000,Free,0,Everyone,Communication,"March 5, 2017",196,2.1 and up
Screen Lock - with Fingerprint Simulator,TOOLS,3.7,338449,2.8,10000000,Free,0,Everyone,Tools,"June 19, 2018",8.6,2.3.3 and up
HTC Social Plugin - Facebook,SOCIAL,3.6,13223,2.8,10000000,Free,0,Mature 17+,Social,"June 8, 2016",8.00.752746,4.4 and up
