title,action,comedy,drama,runtime,metascore,rating
Guardians of the Galaxy,1,0,0,121,76,8.1
Prometheus,0,0,0,124,65,7
Split,0,0,0,117,62,7.3
Sing,0,1,0,108,59,7.2
Suicide Squad,1,0,0,123,40,6.2
The Great Wall,1,0,0,103,42,6.1
La La Land,0,1,1,128,93,8.3
Mindhorn,0,1,0,89,71,6.4
The Lost City of Z,1,0,0,141,78,7.1
Passengers,0,0,1,116,41,7
Fantastic Beasts and Where to Find Them,0,0,0,133,66,7.5
Hidden Figures,0,0,1,127,74,7.8
Rogue One,1,0,0,133,65,7.9
Moana,0,1,0,107,81,7.7
Colossal,1,1,1,109,70,6.4
The Secret Life of Pets,0,1,0,87,61,6.6
Hacksaw Ridge,0,0,1,139,71,8.2
Jason Bourne,1,0,0,123,58,6.7
Lion,0,0,1,118,69,8.1
Arrival,0,0,1,116,81,8
Gold,0,0,1,120,49,6.7
Manchester by the Sea,0,0,1,137,96,7.9
Hounds of Love,0,0,1,108,72,6.7
Trolls,0,1,0,92,56,6.5
Independence Day: Resurgence,1,0,0,120,32,5.3
Paris pieds nus,0,1,0,83,,6.8
Bahubali: The Beginning,1,0,1,159,,8.3
Dead Awake,0,0,0,99,,4.7
Bad Moms,0,1,0,100,60,6.2
Assassin's Creed,1,0,1,115,36,5.9
Why Him?,0,1,0,111,39,6.3
Nocturnal Animals,0,0,1,116,67,7.5
X-Men: Apocalypse,1,0,0,144,52,7.1
Deadpool,1,1,0,108,65,8
Resident Evil: The Final Chapter,1,0,0,107,49,5.6
Captain America: Civil War,1,0,0,147,75,7.9
Interstellar,0,0,1,169,74,8.6
Doctor Strange,1,0,0,115,72,7.6
The Magnificent Seven,1,0,0,132,54,6.9
5- 25- 77,0,1,1,113,,7.1
Sausage Party,0,1,0,89,66,6.3
Moonlight,0,0,1,111,99,7.5
Don't Fuck in the Woods,0,0,0,73,,2.7
The Founder,0,0,1,115,66,7.2
Lowriders,0,0,1,99,57,6.3
Pirates of the Caribbean: On Stranger Tides,1,0,0,136,45,6.7
Miss Sloane,0,0,1,132,64,7.3
Fallen,0,0,1,91,,5.6
Star Trek Beyond,1,0,0,122,68,7.1
The Last Face,0,0,1,130,16,3.7
Star Wars: Episode VII - The Force Awakens,1,0,0,136,81,8.1
Underworld: Blood Wars,1,0,0,91,23,5.8
Mother's Day,0,1,1,118,18,5.6
John Wick,1,0,0,101,68,7.2
The Dark Knight,1,0,1,152,82,9
Silence,0,0,1,161,79,7.3
Don't Breathe,0,0,0,88,71,7.2
Me Before You,0,0,1,106,51,7.4
Their Finest,0,1,1,117,76,7
Sully,0,0,1,96,74,7.5
Batman v Superman: Dawn of Justice,1,0,0,151,44,6.7
The Autopsy of Jane Doe,0,0,0,86,65,6.8
The Girl on the Train,0,0,1,112,48,6.5
Fifty Shades of Grey,0,0,1,125,46,4.1
The Prestige,0,0,1,130,66,8.5
Kingsman: The Secret Service,1,1,0,129,58,7.7
Patriots Day,0,0,1,133,69,7.4
Mad Max: Fury Road,1,0,0,120,90,8.1
Wakefield,0,0,1,106,61,7.5
Deepwater Horizon,1,0,1,107,68,7.2
The Promise,0,0,1,133,49,5.9
Allied,1,0,1,124,60,7.1
A Monster Calls,0,0,1,108,76,7.5
Collateral Beauty,0,0,1,97,23,6.8
Zootopia,0,1,0,108,78,8.1
Pirates of the Caribbean: At World's End,1,0,0,169,50,7.1
The Avengers,1,0,0,143,69,8.1
Inglourious Basterds,0,0,1,153,69,8.3
Pirates of the Caribbean: Dead Man's Chest,1,0,0,151,53,7.3
Ghostbusters,1,1,0,116,60,5.3
Inception,1,0,0,148,74,8.8
Captain Fantastic,0,1,1,118,72,7.9
The Wolf of Wall Street,0,1,0,180,75,8.2
Gone Girl,0,0,1,149,79,8.1
Furious Seven,1,0,0,137,67,7.2
Jurassic World,1,0,0,124,59,7
Live by Night,0,0,1,129,49,6.4
Avatar,1,0,0,162,83,7.8
The Hateful Eight,0,0,1,187,68,7.8
The Accountant,1,0,1,128,51,7.4
Prisoners,0,0,1,153,74,8.1
Warcraft,1,0,0,123,32,7
The Help,0,0,1,146,62,8.1
War Dogs,0,1,1,114,57,7.1
Avengers: Age of Ultron,1,0,0,141,66,7.4
The Nice Guys,1,1,0,116,70,7.4
Kimi no na wa,0,0,1,106,79,8.6
The Void,0,0,0,90,62,5.8
Personal Shopper,0,0,1,105,77,6.3
The Departed,0,0,1,151,85,8.5
Legend,0,0,1,132,55,7
Thor,1,0,0,115,57,7
The Martian,0,0,1,144,80,8
Contratiempo,0,0,0,106,,7.9
The Man from U.N.C.L.E.,1,1,0,116,56,7.3
Hell or High Water,0,0,1,102,88,7.7
The Comedian,0,1,0,120,40,5.4
The Legend of Tarzan,1,0,1,110,44,6.3
All We Had,0,0,1,105,48,5.8
Ex Machina,0,0,1,108,78,7.7
The Belko Experiment,1,0,0,89,44,6.3
12 Years a Slave,0,0,1,134,96,8.1
The Bad Batch,0,0,0,118,65,6.1
300,1,0,0,117,52,7.7
Harry Potter and the Deathly Hallows: Part 2,0,0,1,130,87,8.1
Office Christmas Party,0,1,0,105,42,5.8
The Neon Demon,0,0,0,118,51,6.2
Dangal,1,0,1,161,,8.8
10 Cloverfield Lane,0,0,1,104,76,7.2
Finding Dory,0,1,0,97,77,7.4
Miss Peregrine's Home for Peculiar Children,0,0,1,127,57,6.7
Divergent,0,0,0,139,48,6.7
Mike and Dave Need Wedding Dates,0,1,0,98,51,6
Boyka: Undisputed IV,1,0,0,86,,7.4
The Dark Knight Rises,1,0,0,164,78,8.5
The Jungle Book,0,0,1,106,77,7.5
Transformers: Age of Extinction,1,0,0,165,32,5.7
Nerve,0,0,0,96,58,6.6
Mamma Mia!,0,1,0,108,51,6.4
The Revenant,0,0,1,156,76,8
Fences,0,0,1,139,79,7.3
Into the Woods,0,1,1,125,69,6
The Shallows,0,0,1,86,59,6.4
Whiplash,0,0,1,107,88,8.5
Furious 6,1,0,0,130,61,7.1
The Place Beyond the Pines,0,0,1,140,68,7.3
No Country for Old Men,0,0,1,122,91,8.1
The Great Gatsby,0,0,1,143,55,7.3
