name,number,gender
Sophie,836,1
Daan,751,0
Emma,728,1
Bram,727,0
Milan,700,0
Finn,694,0
Sem,693,0
Lucas,681,0
Julia,676,1
Luuk,667,0
Levi,646,0
Liam,614,0
Mila,609,1
Noah,602,0
Tess,591,1
Isa,583,1
Zoë,576,1
Anna,575,1
Eva,570,1
Sara,570,1
Fenna,556,1
Jayden,550,0
Tim,546,0
Thomas,545,0
Jesse,538,0
Evi,538,1
Thijs,536,0
Lotte,534,1
Lynn,523,1
Lisa,520,1
Max,518,0
Julian,515,0
Ruben,513,0
Lars,508,0
Fleur,503,1
Saar,496,1
Sarah,494,1
Mees,492,0
Sam,490,0
Lieke,471,1
Stijn,461,0
Noa,451,1
Roos,450,1
Siem,442,0
Benjamin,438,0
Tygo,431,0
Nora,421,1
Gijs,410,0
Sven,403,0
Luca,394,0
Hugo,391,0
Adam,390,0
Jens,385,0
Sofie,385,1
Maud,384,1
Sanne,384,1
Vince,376,0
Yara,376,1
Liv,375,1
Dex,372,0
Mats,372,0
Jan,370,0
Esmee,368,1
Noor,368,1
Olivia,368,1
Teun,366,0
Noud,365,0
Ryan,365,0
Amy,348,1
Milou,340,1
Elin,339,1
Nina,339,1
David,335,0
Tijn,329,0
Floris,328,0
Jurre,327,0
Cas,322,0
Femke,316,1
Anne,314,1
Boaz,313,0
Jasmijn,312,1
Feline,309,1
Daniël,306,0
Senn,301,0
Ties,296,0
Joep,294,0
Olivier,292,0
Emily,292,1
Naomi,289,1
Jack,287,0
Nova,279,1
Loïs,277,1
Jill,276,1
Luna,272,1
Guus,270,0
Vera,268,1
Liz,266,1
Eline,264,1
Floor,261,1
Roan,259,0
Jason,258,0
Tom,258,0
Iris,258,1
Lina,258,1
Dani,254,0
Dean,254,0
Niek,253,0
Benthe,253,1
Dylan,251,0
Pim,249,0
Willem,249,0
Fenne,249,1
Pepijn,245,0
Elise,245,1
Lizzy,244,1
Hannah,243,1
Koen,242,0
Isabella,241,1
Mohamed,239,0
Maria,239,1
Thijmen,234,0
Norah,233,1
Mohammed,230,0
Nathan,230,0
Lola,229,1
Isabel,227,1
Julie,227,1
Evy,226,1
Lana,226,1
Sophia,226,1
Suze,225,1
Tessa,223,1
Alexander,222,0
Sofia,222,1
Fedde,221,0
Mason,221,0
Morris,221,0
Tobias,221,0
Lara,220,1
Bas,219,0
Samuel,219,0
Amber,219,1
Charlotte,219,1
Fay,215,1
Jasper,214,0
Casper,212,0
James,212,0
Xavi,211,0
Hidde,210,0
Stan,210,0
Joey,209,0
Pieter,209,0
Ella,209,1
Lauren,208,1
Timo,207,0
Nikki,207,1
Niels,206,0
Elif,205,1
Quinn,204,0
Veerle,203,1
Johannes,202,0
Damian,200,0
Joris,196,0
Owen,195,0
Bo,195,1
Fien,195,1
Jelle,194,0
Jip,194,0
Rayan,193,0
Aiden,191,0
Lena,191,1
Rosalie,191,1
Mick,190,0
Robin,190,0
Bente,188,1
Hendrik,186,0
Fiene,184,1
Joshua,183,0
Suus,182,1
Daley,181,0
Mirthe,181,1
Cornelis,180,0
Linde,180,1
Amira,179,1
Simon,178,0
Nick,177,0
Stef,177,0
