day,temperature
20170101,0.5
20170102,3
20170103,5
20170104,5.8
20170105,0
20170106,-3
20170107,-0.2
20170108,4.3
20170109,4.8
20170110,5.3
20170111,7.2
20170112,5.2
20170113,3.1
20170114,1.8
20170115,0.7
20170116,-1.6
20170117,-3.4
20170118,-3.8
20170119,-2
20170120,-0.3
20170121,-0.2
20170122,-1.7
20170123,1.6
20170124,0.8
20170125,-1.1
20170126,-2.8
20170127,0.8
20170128,5.4
20170129,4.7
20170130,4.9
20170131,3.7
20170201,3.4
20170202,8.6
20170203,8.6
20170204,5.7
20170205,4.4
20170206,4.3
20170207,2.4
20170208,0
20170209,-1.6
20170210,-2.3
20170211,-0.4
20170212,0.7
20170213,2.2
20170214,3.8
20170215,7.4
20170216,6.8
20170217,7
20170218,5.6
20170219,6.2
20170220,9.1
20170221,9.6
20170222,9.5
20170223,8
20170224,4.5
20170225,5.8
20170226,8.7
20170227,8.7
20170228,4.7
20170301,6.3
20170302,6.6
20170303,5.9
20170304,9.2
20170305,6.9
20170306,6
20170307,6.7
20170308,5.9
20170309,7.7
20170310,6.5
20170311,7.3
20170312,7.9
20170313,6.5
20170314,8.8
20170315,9
20170316,9.4
20170317,8.3
20170318,9.7
20170319,11.3
20170320,10.3
20170321,7.5
20170322,6.3
20170323,8.2
20170324,8.4
20170325,8.5
20170326,8
20170327,9.2
20170328,11.3
20170329,12.6
20170330,15.7
20170331,14.5
20170401,10.8
20170402,10.3
20170403,8.1
20170404,9.8
20170405,9.2
20170406,8.1
20170407,10.5
20170408,9.6
20170409,11.7
20170410,9.8
20170411,9.6
20170412,9.8
20170413,9.3
20170414,9.9
20170415,9.6
20170416,7.9
20170417,6.5
20170418,6.1
20170419,3.9
20170420,6.9
20170421,11.1
20170422,7.8
20170423,6.6
20170424,9.3
20170425,5.9
20170426,5
20170427,6.1
20170428,7.6
20170429,7.6
20170430,12.3
20170501,11.7
20170502,10
20170503,10.7
20170504,10.4
20170505,8.9
20170506,12.8
20170507,11.7
20170508,9.7
20170509,8
20170510,9
20170511,15.4
20170512,15.5
20170513,14
20170514,13.4
20170515,14.9
20170516,20.4
20170517,22.3
20170518,16.5
20170519,13.6
20170520,12.5
20170521,14.4
20170522,17.6
20170523,16.1
20170524,15.9
20170525,17.4
20170526,20.3
20170527,22.9
20170528,20.5
20170529,21.9
20170530,18.3
20170531,17.4
20170601,16.6
20170602,19.8
20170603,18.4
20170604,15.4
20170605,17.1
20170606,14.1
20170607,14
20170608,16.8
20170609,16.5
20170610,17.8
20170611,19.9
20170612,16.1
20170613,16.3
20170614,17.4
20170615,20
20170616,16.2
20170617,18.6
20170618,20.8
20170619,23.6
20170620,21.6
20170621,21.4
20170622,22.9
20170623,19.6
20170624,17.1
20170625,17.5
20170626,16.8
20170627,17.3
20170628,18
20170629,17.5
20170630,16.2
20170701,16.1
20170702,15.6
20170703,16.6
20170704,18.6
20170705,19
20170706,19.9
20170707,20.6
20170708,18.6
20170709,17.2
20170710,19.6
20170711,17.7
20170712,14.9
20170713,14.6
20170714,14.2
20170715,17.2
20170716,18.6
20170717,18.6
20170718,19.9
20170719,23.5
20170720,19.1
20170721,18.2
20170722,19.4
20170723,16
20170724,16.1
20170725,16.7
20170726,19
20170727,18.5
20170728,17.2
20170729,18.2
20170730,18.8
20170731,18.1
20170801,17.8
20170802,17.6
20170803,19
20170804,18.3
20170805,15.9
20170806,15.8
20170807,16.8
20170808,16.2
20170809,16.7
20170810,15.7
20170811,16.7
20170812,16.8
20170813,16.2
20170814,17.9
20170815,17.9
20170816,17.6
20170817,17.3
20170818,16.9
20170819,15.4
20170820,15.8
20170821,15.9
20170822,18.2
20170823,19.6
20170824,17.9
20170825,16.9
20170826,18.2
20170827,17.8
20170828,18.7
20170829,21
20170830,17.8
20170831,14.4
20170901,14.7
20170902,13.3
20170903,13
20170904,15.8
20170905,18.6
20170906,15.9
20170907,15.6
20170908,15.1
20170909,13.2
20170910,13.9
20170911,14.1
20170912,14.6
20170913,14.1
20170914,11.7
20170915,12.5
20170916,10.6
20170917,10.8
20170918,12
20170919,12
20170920,13.5
20170921,13.4
20170922,11.9
20170923,10.9
20170924,12.1
20170925,14.2
20170926,13.2
20170927,13.6
20170928,15.8
20170929,17.1
20170930,13.1
20171001,14.1
20171002,15.6
20171003,13.6
20171004,13
20171005,12.9
20171006,11.6
20171007,12.2
20171008,12.1
20171009,12.1
20171010,14.3
20171011,14.8
20171012,13.4
20171013,15.3
20171014,14.8
20171015,15.8
20171016,18.6
20171017,12.9
20171018,13.7
20171019,15.7
20171020,13.7
20171021,13.2
20171022,10.8
20171023,12.6
20171024,15.3
20171025,14.2
20171026,14
20171027,11.8
20171028,12.4
20171029,10.7
20171030,8.3
20171031,10.1
20171101,11.2
20171102,9.8
20171103,8.8
20171104,10.6
20171105,7.8
20171106,4.8
20171107,3.3
20171108,5.9
20171109,8.7
20171110,9.2
20171111,6.6
20171112,5.2
20171113,6.2
20171114,7.7
20171115,9.4
20171116,9.3
20171117,5.6
20171118,6.9
20171119,6.7
20171120,7.8
20171121,11.5
20171122,11.4
20171123,11.1
20171124,6.9
20171125,3.7
20171126,5.3
20171127,6.7
20171128,5.4
20171129,2.9
20171130,1.5
20171201,0
20171202,-0.4
20171203,3.7
20171204,7
20171205,7.6
20171206,8
20171207,5.9
20171208,2.6
20171209,2.1
20171210,1.1
20171211,-0.1
20171212,1.8
20171213,4
20171214,3.3
20171215,2.6
20171216,2.7
20171217,2.5
20171218,5.9
20171219,5.2
20171220,7.5
20171221,8.4
20171222,8.6
20171223,8.7
20171224,8.2
20171225,7.4
20171226,5.8
20171227,5.1
20171228,3.9
20171229,2.8
20171230,8.8
20171231,10.6
