app,reviews,rating
JailBase - Arrests + Mugshots,17240,NULL
EF Smart English for Phone,208,/
CP Calculator,187,4.1
Workout Tracker & Gym Trainer - Fitness Log Book,5420,4.6
All Language Translator,29944,4
Adivina el Emoji,2536,
Co-op Connections,8,1.6
CP Clicker,251,4.2
love,42677,4.3
University of Florida,168,4
Can I pack that? - DG App,58,3.9
Klara weather,36900,4.6
Jumia online shopping,162655,4.3
Java Editor CR,434,3.8
Monster Truck Driver & Racing,748,4.4
Credit Karma,706618,4.7
FA Player Essentials,7,5
Frozen Free Fall,1574197,4.3
BN DB1 App,2,
Android Messages,781810,4.2
Google Voice,171031,4.2
Dots & Co: A Puzzle Adventure,81001,4.5
Where's My Water? Free,1372013,5.3
La Fe de Jesus,8,
Titanic App - Feminist Dating Application,120,4.5
Familial Hypercholesterolaemia,0,
Convert Coordinates DM to DMS,15,4.3
DT Manager,9,4
DJ Mix Effects Simulator,5997,4.1
Discípulos em BH,24,
Zocdoc: Find Doctors & Book Appointments,6099,4.5
Dr. Panda Town,36578,4
Wallpapers FN Herstal FNP 9,0,
Hangouts Dialer - Call Phones,122498,4
M star Dialer,400,3.5
Ringdroid,326232,4.4
Placement Tips for BE (CE/IT),7,4.4
"Mobizen Screen Recorder for LG - Record, Capture",58820,4.5
lesparticuliers.fr,96,
White Classic Petite Watch Theme for DW,2,
Police VAZ LADA Simulator,3502,3.6
Black Classic DW Watch Theme,1,
Google Photos,10858556,4.5
Cy-Fair Christian Church,2,5
Adobe Fill & Sign: Easy PDF Form Filler,11402,4.3
Jewels Star: OZ adventure,21892,4.5
Qatar Airways,11182,4.3
"BT Dating -Find your match, help cupid, be social",158,4.1
Kick the Buddy,1004709,4.3
Runkeeper - GPS Track Run Walk,501144,4.5
Howlr,105,5.9
Bhunaksha CG,67,4.1
Bx Thailand Alert (Bitcoin),3,4.7
Elemental Galaxy Dx - Match3,127,4
Five Nights at Flappy's,4041,4.7
Spanish English Translator,87919,4.2
Couple - Relationship App,33249,4
MPS CL,1,
magicApp Calling & Messaging,207712,4.1
Angry Birds Rio,2610680,4.4
Resume PDF Maker / CV Builder,2147,4.4
wetter.com - Weather and Radar,189310,4.2
"Peers.TV: broadcast TV channels First, Match TV, TNT ...",141980,4.1
"Startupticker.ch News, Events",4,5
