id;20-6-2013;21-6-2013;22-6-2013;23-6-2013;24-6-2013;25-6-2013;26-6-2013;27-6-2013;28-6-2013;29-6-2013;30-6-2013;1-7-2013;2-7-2013;3-7-2013;4-7-2013;5-7-2013;6-7-2013;7-7-2013;8-7-2013;9-7-2013;10-7-2013;11-7-2013;12-7-2013;13-7-2013;14-7-2013;15-7-2013;16-7-2013;17-7-2013;18-7-2013;19-7-2013;20-7-2013;21-7-2013;22-7-2013;23-7-2013;24-7-2013;25-7-2013;26-7-2013;27-7-2013;28-7-2013;29-7-2013;30-7-2013;31-7-2013;1-8-2013;2-8-2013;3-8-2013;4-8-2013;5-8-2013;6-8-2013;7-8-2013;8-8-2013;9-8-2013;10-8-2013;11-8-2013;12-8-2013;13-8-2013;14-8-2013;15-8-2013;16-8-2013;17-8-2013;18-8-2013;19-8-2013;20-8-2013;21-8-2013;22-8-2013;23-8-2013;24-8-2013;25-8-2013;26-8-2013;27-8-2013;28-8-2013;29-8-2013;30-8-2013;31-8-2013;1-9-2013;2-9-2013;3-9-2013;4-9-2013;5-9-2013;6-9-2013;7-9-2013;8-9-2013;9-9-2013;10-9-2013;11-9-2013;12-9-2013;13-9-2013;14-9-2013;15-9-2013;16-9-2013;17-9-2013;18-9-2013;19-9-2013;20-9-2013;21-9-2013;22-9-2013;23-9-2013;24-9-2013;25-9-2013;26-9-2013;27-9-2013;28-9-2013;29-9-2013;30-9-2013;1-10-2013;2-10-2013;3-10-2013;4-10-2013;5-10-2013;6-10-2013;7-10-2013;8-10-2013;9-10-2013;10-10-2013;11-10-2013;12-10-2013;13-10-2013;14-10-2013;15-10-2013;16-10-2013;17-10-2013;18-10-2013;19-10-2013;20-10-2013;21-10-2013;22-10-2013;23-10-2013;24-10-2013;25-10-2013;26-10-2013;27-10-2013;28-10-2013;29-10-2013;30-10-2013;31-10-2013;1-11-2013;2-11-2013;3-11-2013;4-11-2013;5-11-2013;6-11-2013;7-11-2013;8-11-2013;9-11-2013;10-11-2013;11-11-2013;12-11-2013;13-11-2013;14-11-2013;15-11-2013;16-11-2013;17-11-2013;18-11-2013;19-11-2013;20-11-2013;21-11-2013;22-11-2013;23-11-2013;24-11-2013;25-11-2013;26-11-2013;27-11-2013;28-11-2013;29-11-2013;30-11-2013;1-12-2013;2-12-2013;3-12-2013;4-12-2013;5-12-2013;6-12-2013;7-12-2013;8-12-2013;9-12-2013;10-12-2013;11-12-2013;12-12-2013;13-12-2013;14-12-2013;15-12-2013;16-12-2013;17-12-2013;18-12-2013;19-12-2013;20-12-2013;21-12-2013;22-12-2013;23-12-2013;24-12-2013;25-12-2013;26-12-2013;27-12-2013;28-12-2013;29-12-2013;30-12-2013;31-12-2013;1-1-2014;2-1-2014;3-1-2014;4-1-2014;5-1-2014;6-1-2014;7-1-2014;8-1-2014;9-1-2014;10-1-2014;11-1-2014;12-1-2014;13-1-2014;14-1-2014;15-1-2014;16-1-2014;17-1-2014;18-1-2014;19-1-2014;20-1-2014;21-1-2014;22-1-2014;23-1-2014;24-1-2014;25-1-2014;26-1-2014;27-1-2014;28-1-2014;29-1-2014;30-1-2014;31-1-2014;1-2-2014;2-2-2014;3-2-2014;4-2-2014;5-2-2014;6-2-2014;7-2-2014;8-2-2014;9-2-2014;10-2-2014;11-2-2014;12-2-2014;13-2-2014;14-2-2014;15-2-2014;16-2-2014;17-2-2014;18-2-2014;19-2-2014;20-2-2014;21-2-2014;22-2-2014;23-2-2014;24-2-2014;25-2-2014;26-2-2014;27-2-2014;28-2-2014;1-3-2014;2-3-2014;3-3-2014;4-3-2014;5-3-2014;6-3-2014;7-3-2014;8-3-2014;9-3-2014;10-3-2014;11-3-2014;12-3-2014;13-3-2014;14-3-2014;15-3-2014;16-3-2014;17-3-2014;18-3-2014;19-3-2014;20-3-2014;21-3-2014;22-3-2014;23-3-2014;24-3-2014;25-3-2014;26-3-2014;27-3-2014;28-3-2014;29-3-2014;30-3-2014;31-3-2014;1-4-2014;2-4-2014;3-4-2014;4-4-2014;5-4-2014;6-4-2014;7-4-2014;8-4-2014;9-4-2014;10-4-2014;11-4-2014;12-4-2014;13-4-2014;14-4-2014;15-4-2014;16-4-2014;17-4-2014;18-4-2014;19-4-2014;20-4-2014;21-4-2014;22-4-2014;23-4-2014;24-4-2014;25-4-2014;26-4-2014;27-4-2014;28-4-2014;29-4-2014;30-4-2014;1-5-2014;2-5-2014;3-5-2014;4-5-2014;5-5-2014;6-5-2014;7-5-2014;8-5-2014;9-5-2014;10-5-2014;11-5-2014;12-5-2014;13-5-2014
1;;;;;;;;;;2626;19183;4858;16364;11142;19220;18432;8134;6;;;;;;;;3898;;;;;;;;;;;;;;;;;;;;7139;;;;;;;8821;;;;;;;;;;;282;;;8;;;;;;;;9411;;;;;;;;;;;13025;;;;;;;;;;;;;11587;13;;;;;;;;;;7777;7840;3941;4540;3266;11705;4602;2793;;;;;6721;4487;;;;;2338;4766;6242;237;;1408;10793;2457;7014;8408;10656;8276;10091;7847;2661;;;;;;;;5583;4227;5533;2971;8390;6417;3676;10620;2694;5200;6535;2769;8649;1890;7583;7120;9103;9879;13152;9207;4896;6207;9844;2873;;;;;;;8401;;;;;;;;;;;;;;;1104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;;;;641;4045;2310;2480;830;4860;2865;3302;3562;2462;2809;4429;3506;;;6497;;6665;;;;6873;;2247;5034;10990;5349;;;3163;;6214;;;;;8112;;;;;;;12406;12476;4560;5592;88;3457;4387;4490;;3117;1533;1777;8143;7629;2991;;2702;1021;3310;3257;;;;;;1328;9806;3554;4791;38;2861;2962;845;;4128;;;2737;3037;1860;3271;74;;3564;3072;36;;;;;;;;;;;;;;;1963;3023;2484;5185;;;;;2066;2327;3893;1454;2374;6131;6616;3464;1969;5883;454;;2501;1384;2645;2511;;8;;;;8;;;;;;;;;6;;;;;;;;;4;;;;;;;;;5;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;16;812;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5557;245;;6137;;;;58;4752;9888;;6235;55;;;;;;;;;;;;;;;;;3478;5832;2743;1510;;9916;5723;5568;5542;4089;;13438;3469;8301;;;6051;5594;;4720;5197;6756;7902;5665;5280;6107;1885;4918;7838;5706;6696;5159;7028;827;4650;;8330;3282;7288;3008;3366;4072;2289;4917;4707;5500;9459;1982;7125;4797;5890;;7117;4838;2345;5664;5188;6990;7817;1983;13942;1202;4498;4950;4192;7484;3986;2415;842;2222;6811;5219;4219;5929;3459;1653;5697;6081;4869;5165;6506;3646;170;3370;5891;4200;4125;8501;2902;1161;7804;7407;4392;3802;5368;4803;9149;6425;;4982;3557;4566;8660;12666;6769;29;15;8372;6049;4058;4766;3949;3349;598;1270;6403;800;1412;7953;10487;2759;5255;3784;6680;2913;4553;5887;5875;5036;5075;2808;2839;4495;5839;5053;4982;8003;9066;11967;;;4061;7179;7901;1968;1767;3955;4555;4530;;;6099;3536;7378;5506;4483;5345;3972;1427;3405;4167;9419;4579;6010;6835;1322;1353;6017;5375;5283;4959;3275;7707;4051;4177;8445;3524;4262;3475;3054;1571;4612;3620;2727;5914;7215;4937;2724;12577;5367;3526;4461;7897;4071;1377;3754;;6418;6981;4421;5282;2770;4254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;25;4067;7192;154;8674;8275;850;10710;2636;6536;7215;6432;7099;;;671;;;111;;7350;9459;;4986;10763;;17;;7421;;;9809;6185;;;;;;;;;;477;;8018;2154;;;4722;574;813;2917;7021;1831;6913;8949;18;;;;;;;8108;1987;123;;;8;8392;4;;1840;4;4126;6674;5563;308;5220;;;8941;7378;8203;;;7346;6822;7971;;10907;;7191;9617;231;8171;6534;7687;8825;6748;9900;4528;6076;6493;7782;8601;4212;8234;6223;7162;9168;6384;3154;4090;12971;3979;7056;6792;11818;7517;2899;;5832;3975;;5975;10883;8932;7276;6251;6949;7079;7314;8589;5045;8057;6989;7752;8829;8192;;3755;3913;6259;7990;6847;8123;4279;1730;10520;6310;7279;;;;3653;8796;6511;8366;7268;9508;5213;6607;7045;7386;10155;7893;8694;3600;11350;9312;9233;7693;6957;8516;6023;6639;10198;9448;6888;9610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;7573;;;;;;;;;;;;;2343;;14412;8446;;1673;;3324;;8460;396;716;2532;;759;;;;;;;780;;6252;1464;2080;;;9473;;;12838;;;;;;251;;;;589;;922;;674;262;;;;;;;;8292;9038;616;2374;15333;13655;4559;;8696;4549;2853;;;7962;;;8176;15376;8418;4053;5039;4234;;4007;4490;11786;6870;7891;2620;4844;3754;;;1000;4204;3461;3481;3764;5247;17047;14368;4590;3815;4337;3720;3672;3499;5545;;4;;4689;1571;9324;488;;;4699;3433;5488;5463;6562;3475;3053;3579;3711;5013;8241;11;9064;4648;4145;5882;4712;;;2018;3479;5926;2683;3514;5846;12295;4120;144;403;8191;6666;5215;23840;5035;3626;7436;19;5090;;12132;4902;3875;7684;9840;5435;16323;10351;9488;4433;5573;6998;7743;2407;6579;9044;1570;4493;6;4697;2935;793;8891;8471;;7326;3906;7588;7988;;;200;3164;3884;9006;11333;5576;6321;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5539;;12;;;;323;133;;;3709;;;893;;145;57;55;37;86;967;;;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4454;7652;3934;;;;;;;;;;;;2498;8595;6371;8299;8440;4382;1357;10094;8540;10088;8355;8756;10998;1514;8631;11897;7744;6432;6794;;;9369;10606;6990;9168;11217;1831;5377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7515;7482;8416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;9834;8600;10632;3597;8129;10397;5963;8517;8877;5139;5874;6441;14810;11062;;10392;5447;1971;14851;8010;8499;8006;7341;3899;3060;3182;2603;12381;7576;7782;4213;6669;6009;5106;7443;4728;5724;6521;6119;;6484;6202;6103;6153;3556;3224;6301;5891;3913;3655;4270;9345;;8900;10031;8498;8478;6635;;5430;5103;;7151;;7325;7219;4905;7915;11965;12449;10172;7634;3477;5431;5978;6807;6773;6719;10375;3367;5488;5942;7323;7638;8245;9473;3671;;7062;1482;;3365;4284;;;;;;;;;;;;;;;;;;;;895;491;6378;;5679;9240;9124;7414;5193;9159;4246;4039;7262;7736;6413;9333;9346;3038;;45;9184;391;3653;;;14;8916;;6412;743;;;;5978;9011;8282;6906;;;7283;9714;6;6215;10609;13634;;;;8646;4675;9974;;;;;;8004;10047;;;6325;6292;;2763;10895;6973;7596;10577;1509;;3557;;;;;3892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
