name,uploads,subscribers,views
AP Archive,422326,746325,548619569
YTN NEWS,355996,820108,1640347646
SBS Drama,335521,1418619,1565758044
GMA News,269065,2599175,2786949164
MLB,267649,1434206,1329206392
民視綜合頻道,208265,383022,659944536
Various Artists - Topic,207072,30224,28670469
Various Artists - Topic,203934,26013,13049365
SBS Entertainment,200928,1809240,1477119313
東森新聞 CH51,188502,720563,1109957965
ETV Andhra Pradesh,186194,712562,349096736
TVBS NEWS,161245,581582,1048630388
Puthiya Thalaimurai TV,151597,1706859,712765728
CNN,142427,4686757,3574418617
BeritaSatuTV,132874,305667,270945052
TV5 News,130256,1001273,735030481
AlHayah TV Network,129941,3719788,2123111920
IGN,129191,10679348,8056294817
NTV Telugu,125240,1452863,1118975963
Ennahar tv,121387,2017921,859483866
IndiaTV,120243,6576438,2865575385
TEDx Talks,118990,14288254,2649053469
ZEE 24 TAAS,118696,1782463,936716854
ТСН,117623,674935,596691293
Россия 24,111520,2165801,2298969489
ABP NEWS,109223,6055077,2206306855
Manorama News,102344,1136547,767612793
Al Jazeera Arabic قناة…,102248,2576870,1040959771
ABS-CBN Entertainment,100147,12149206,17202609850
SBS Culture,99544,322193,402883303
V6 News Telugu,98889,2464042,1966034210
Official NET News,96996,612068,529640372
thairath,93500,3992315,2493477931
Zee Telugu,92250,2902714,2754482753
Zee News,87417,3833804,1141128840
蘋果動新聞 HK Apple Daily,87296,1192744,1954751427
DramaKBS,86872,1163844,1469594560
News7 Tamil,86158,1440648,530150556
asianetnews,83475,1783317,1107911197
Zee TV,82757,18752951,20869786591
WildFilmsIndia,81888,1122335,709923922
ABS-CBN News,80773,4545223,3420909679
eltrece,79561,4386345,4279834573
Zee Bangla,79497,3102246,2867901827
Aaj Tak,79184,9592793,2797505747
VTC14 - Thời tiết - Môi…,78042,852952,689365351
The Times of India,76391,739545,344694346
Zee Marathi,74607,2841811,2591830307
ABP Majha,73823,1800470,732730266
MediaoneTV Live,73616,685132,334150601
KBSEntertain,71732,2075344,2415535239
AMARIN TVHD,71230,3460726,2713462365
Top Channel Albania,71136,514462,725647506
TV9 Telugu,70114,2228419,1508118007
Thanthi TV,69843,1071589,418132080
NDTV,69450,2488785,1185616288
iDream Telugu Movies,68810,2176761,1410477548
KOMPASTV,67508,596530,468517987
Shalimar Telugu & Hindi Movies,66356,2516177,1876741442
Telefe,66273,2220124,1910032292
GMA Network,65757,6270681,7373478009
CBS News,64200,913362,762966229
Public TV | ಪಬ್ಲಿಕ್…,64019,812492,345120681
NEXT9NEWS हर खबर आप…,63174,6859179,3100755270
zoom,63152,2165833,1810463915
三立LIVE新聞,62969,463879,617815248
etvteluguindia,61222,4560715,4163302219
hmtv News,60814,665260,414068035
Zee Kannada,60513,1416231,1035395290
MBCentertainment,58514,4030820,5187454046
EchorouknewsTV,57609,913153,288798203
CBS,57325,1098981,1505436631
Imagen Noticias,57270,1445044,1107593939
dmc,56572,2056067,671293028
中天電視,56420,766414,853996269
RT Arabic,56185,1909901,1002985721
Dream TV Egypt,56157,1287864,575358276
เรื่องเล่าเช้านี้…,55857,3551228,2355053169
Official iNews,55612,300691,224713552
pressnews tv,54821,1556502,748054958
BRIGHT TV,53494,2018635,1405218521
Fox News,52548,1680608,1098789981
台灣蘋果日報,51490,460369,884015918
AlArabiya قناة العربية,50924,2860343,1411793784
Ch3Thailand,49239,11569723,9388600275
Zee Tamil,48916,2805442,1954282147
Cumicumi,48641,2341946,2200123912
SBS 뉴스,48538,319155,455433472
ABP ANANDA,48516,898453,294368764
DesiFeed Video,48139,1711007,772424547
one31,47805,10878372,7614312491
Suvarna News | ಸುವರ್ಣ…,47317,787818,432842174
ข่าวช่อง 8,47002,914519,347281029
Bedaya TV l قناة بداية…,46566,1394051,2304243251
Polimer News,46419,1013339,435478046
Dunya News,46183,1370062,454980836
Talk Shows Central,46101,2043430,584108770
MBCClassic,44863,981511,2021738000
ABC News,43754,4406595,4274525661
JTBC Entertainment,43526,2510230,3072967216
Noticias Caracol,43468,959473,276064049
Univision Noticias,43216,2562118,1880915239
สํานักข่าวไทย…,42962,1082598,486016747
Rose Telugu Movies,42551,726952,503569347
ThaiPBS,42373,1381892,546531799
RT en Español,42027,1726552,1131663531
ThaiCh8 : ช่อง 8,41034,4830567,3581877042
NMF News,40872,4393689,1885991223
SMG上海电视台官方频道 SMG…,40768,844629,947954536
RT,40763,2995772,2516114490
SETN三立新聞網,40599,454722,859111639
MBCdrama,40464,1905984,2066100793
Tv9 Gujarati,39806,791256,433142229
ARY News,39175,1730455,459593881
News 24,38396,1559966,369062728
VTC1 - Tin tức,37993,1549299,1963421173
Univision,37648,2270942,1453096184
Kanak News,37547,816774,409424537
