title,runtime,metascore,rating,genre
Guardians of the Galaxy,121,76,8.1,action
Prometheus,124,65,7,other
Split,117,62,7.3,other
Sing,108,59,7.2,comedy
Suicide Squad,123,40,6.2,action
The Great Wall,103,42,6.1,action
La La Land,128,93,8.3,comedy
Mindhorn,89,71,6.4,comedy
The Lost City of Z,141,78,7.1,action
Passengers,116,41,7,drama
Fantastic Beasts and Where to Find Them,133,66,7.5,other
Hidden Figures,127,74,7.8,drama
Rogue One,133,65,7.9,action
Moana,107,81,7.7,comedy
Colossal,109,70,6.4,action
The Secret Life of Pets,87,61,6.6,comedy
Hacksaw Ridge,139,71,8.2,drama
Jason Bourne,123,58,6.7,action
Lion,118,69,8.1,drama
Arrival,116,81,8,drama
Gold,120,49,6.7,drama
Manchester by the Sea,137,96,7.9,drama
Hounds of Love,108,72,6.7,drama
Trolls,92,56,6.5,comedy
Independence Day: Resurgence,120,32,5.3,action
Paris pieds nus,83,,6.8,comedy
Bahubali: The Beginning,159,,8.3,action
Dead Awake,99,,4.7,other
Bad Moms,100,60,6.2,comedy
Assassin's Creed,115,36,5.9,action
Why Him?,111,39,6.3,comedy
Nocturnal Animals,116,67,7.5,drama
X-Men: Apocalypse,144,52,7.1,action
Deadpool,108,65,8,action
Resident Evil: The Final Chapter,107,49,5.6,action
Captain America: Civil War,147,75,7.9,action
Interstellar,169,74,8.6,drama
Doctor Strange,115,72,7.6,action
The Magnificent Seven,132,54,6.9,action
5- 25- 77,113,,7.1,comedy
Sausage Party,89,66,6.3,comedy
Moonlight,111,99,7.5,drama
Don't Fuck in the Woods,73,,2.7,other
The Founder,115,66,7.2,drama
Lowriders,99,57,6.3,drama
Pirates of the Caribbean: On Stranger Tides,136,45,6.7,action
Miss Sloane,132,64,7.3,drama
Fallen,91,,5.6,drama
Star Trek Beyond,122,68,7.1,action
The Last Face,130,16,3.7,drama
Star Wars: Episode VII - The Force Awakens,136,81,8.1,action
Underworld: Blood Wars,91,23,5.8,action
Mother's Day,118,18,5.6,comedy
John Wick,101,68,7.2,action
The Dark Knight,152,82,9,action
Silence,161,79,7.3,drama
Don't Breathe,88,71,7.2,other
Me Before You,106,51,7.4,drama
Their Finest,117,76,7,comedy
Sully,96,74,7.5,drama
Batman v Superman: Dawn of Justice,151,44,6.7,action
The Autopsy of Jane Doe,86,65,6.8,other
The Girl on the Train,112,48,6.5,drama
Fifty Shades of Grey,125,46,4.1,drama
The Prestige,130,66,8.5,drama
Kingsman: The Secret Service,129,58,7.7,action
Patriots Day,133,69,7.4,drama
Mad Max: Fury Road,120,90,8.1,action
Wakefield,106,61,7.5,drama
Deepwater Horizon,107,68,7.2,action
The Promise,133,49,5.9,drama
Allied,124,60,7.1,action
A Monster Calls,108,76,7.5,drama
Collateral Beauty,97,23,6.8,drama
Zootopia,108,78,8.1,comedy
Pirates of the Caribbean: At World's End,169,50,7.1,action
The Avengers,143,69,8.1,action
Inglourious Basterds,153,69,8.3,drama
Pirates of the Caribbean: Dead Man's Chest,151,53,7.3,action
Ghostbusters,116,60,5.3,action
Inception,148,74,8.8,action
Captain Fantastic,118,72,7.9,comedy
The Wolf of Wall Street,180,75,8.2,comedy
Gone Girl,149,79,8.1,drama
Furious Seven,137,67,7.2,action
Jurassic World,124,59,7,action
Live by Night,129,49,6.4,drama
Avatar,162,83,7.8,action
The Hateful Eight,187,68,7.8,drama
The Accountant,128,51,7.4,action
Prisoners,153,74,8.1,drama
Warcraft,123,32,7,action
The Help,146,62,8.1,drama
War Dogs,114,57,7.1,comedy
Avengers: Age of Ultron,141,66,7.4,action
The Nice Guys,116,70,7.4,action
Kimi no na wa,106,79,8.6,drama
The Void,90,62,5.8,other
Personal Shopper,105,77,6.3,drama
The Departed,151,85,8.5,drama
Legend,132,55,7,drama
Thor,115,57,7,action
The Martian,144,80,8,drama
Contratiempo,106,,7.9,other
The Man from U.N.C.L.E.,116,56,7.3,action
Hell or High Water,102,88,7.7,drama
The Comedian,120,40,5.4,comedy
The Legend of Tarzan,110,44,6.3,action
All We Had,105,48,5.8,drama
Ex Machina,108,78,7.7,drama
The Belko Experiment,89,44,6.3,action
12 Years a Slave,134,96,8.1,drama
The Bad Batch,118,65,6.1,other
300,117,52,7.7,action
Harry Potter and the Deathly Hallows: Part 2,130,87,8.1,drama
Office Christmas Party,105,42,5.8,comedy
The Neon Demon,118,51,6.2,other
Dangal,161,,8.8,action
10 Cloverfield Lane,104,76,7.2,drama
Finding Dory,97,77,7.4,comedy
Miss Peregrine's Home for Peculiar Children,127,57,6.7,drama
Divergent,139,48,6.7,other
Mike and Dave Need Wedding Dates,98,51,6,comedy
Boyka: Undisputed IV,86,,7.4,action
The Dark Knight Rises,164,78,8.5,action
The Jungle Book,106,77,7.5,drama
Transformers: Age of Extinction,165,32,5.7,action
Nerve,96,58,6.6,other
Mamma Mia!,108,51,6.4,comedy
The Revenant,156,76,8,drama
Fences,139,79,7.3,drama
Into the Woods,125,69,6,comedy
The Shallows,86,59,6.4,drama
Whiplash,107,88,8.5,drama
Furious 6,130,61,7.1,action
The Place Beyond the Pines,140,68,7.3,drama
No Country for Old Men,122,91,8.1,drama
The Great Gatsby,143,55,7.3,drama
Shutter Island,138,63,8.1,other
Brimstone,148,44,7.1,other
Star Trek,127,82,8,action
Diary of a Wimpy Kid,94,56,6.2,comedy
The Big Short,130,81,7.8,comedy
Room,118,86,8.2,drama
Django Unchained,165,81,8.4,drama
Ah-ga-ssi,144,84,8.1,drama
The Edge of Seventeen,104,77,7.4,comedy
Watchmen,162,56,7.6,action
Superbad,113,76,7.6,comedy
Inferno,121,42,6.2,action
The BFG,117,66,6.4,other
The Hunger Games,142,68,7.2,other
White Girl,88,65,5.8,drama
Sicario,121,82,7.6,action
Twin Peaks: The Missing Pieces,91,,8.1,drama
Aliens vs Predator - Requiem,94,29,4.7,action
Pacific Rim,131,64,7,action
"Crazy, Stupid, Love.",118,68,7.4,comedy
Scott Pilgrim vs. the World,112,69,7.5,action
Hot Fuzz,121,81,7.9,action
Mine,106,40,6,other
Free Fire,90,63,7,action
X-Men: Days of Future Past,132,74,8,action
Jack Reacher: Never Go Back,118,47,6.1,action
Casino Royale,144,80,8,action
Twilight,122,56,5.2,drama
Now You See Me 2,129,46,6.5,action
Woman in Gold,109,51,7.3,drama
13 Hours,144,48,7.3,action
Spectre,148,60,6.8,action
Nightcrawler,118,76,7.9,drama
Kubo and the Two Strings,101,84,7.9,other
Beyond the Gates,84,59,5.2,other
Her,126,90,8,drama
Frozen,102,74,7.5,comedy
Tomorrowland,130,60,6.5,action
Dawn of the Planet of the Apes,130,79,7.6,action
Tropic Thunder,107,71,7,action
The Conjuring 2,134,65,7.4,other
Ant-Man,117,64,7.3,action
Bridget Jones's Baby,118,59,6.7,comedy
The VVitch: A New-England Folktale,92,83,6.8,other
Cinderella,105,67,7,drama
Realive,112,,5.9,other
Forushande,124,85,8,drama
Love,135,51,6,drama
Billy Lynn's Long Halftime Walk,113,53,6.3,drama
Crimson Peak,119,66,6.6,drama
Drive,100,78,7.8,drama
Trainwreck,125,75,6.3,comedy
The Light Between Oceans,133,60,7.2,drama
Below Her Mouth,94,42,5.6,drama
Spotlight,128,93,8.1,drama
Morgan,92,48,5.8,other
Warrior,140,71,8.2,action
Captain America: The First Avenger,124,66,6.9,action
Hacker,95,,6.3,drama
Into the Wild,148,73,8.1,drama
The Imitation Game,114,73,8.1,drama
Central Intelligence,107,52,6.3,action
Edge of Tomorrow,113,71,7.9,action
A Cure for Wellness,146,47,6.5,drama
Snowden,134,58,7.3,drama
Iron Man,126,79,7.9,action
Allegiant,120,33,5.7,action
X: First Class,132,65,7.8,action
Raw (II),99,81,7.5,drama
Paterson,118,90,7.5,comedy
Bridesmaids,125,75,6.8,comedy
The Girl with All the Gifts,111,67,6.7,drama
San Andreas,114,43,6.1,action
Spring Breakers,94,63,5.3,drama
Transformers,144,61,7.1,action
Old Boy,104,49,5.8,action
Thor: The Dark World,112,54,7,action
Gods of Egypt,126,25,5.5,action
Captain America: The Winter Soldier,136,70,7.8,action
Monster Trucks,104,41,5.7,action
A Dark Song,100,67,6.1,drama
Kick-Ass,117,66,7.7,action
Hardcore Henry,96,51,6.7,action
Cars,117,73,7.1,comedy
It Follows,100,83,6.9,other
The Girl with the Dragon Tattoo,158,71,7.8,drama
We're the Millers,110,44,7,comedy
American Honey,163,79,7,drama
The Lobster,119,82,7.1,comedy
Predators,107,51,6.4,action
Maleficent,97,56,7,action
Rupture,102,35,4.8,other
Pan's Labyrinth,118,98,8.2,drama
A Kind of Murder,95,50,5.2,drama
Apocalypto,139,68,7.8,action
Mission: Impossible - Rogue Nation,131,75,7.4,action
The Huntsman: Winter's War,114,35,6.1,action
The Perks of Being a Wallflower,102,67,8,drama
Jackie,100,81,6.8,drama
The Disappointments Room,85,31,3.9,drama
The Grand Budapest Hotel,99,88,8.1,comedy
The Host,125,35,5.9,action
Fury,134,64,7.6,action
Inside Out,95,94,8.2,comedy
