title,runtime,metascore,rating,genre
The Dark Knight,152,82,9,action
Dangal,161,,8.8,action
Inception,148,74,8.8,action
Interstellar,169,74,8.6,drama
Kimi no na wa,106,79,8.6,drama
The Intouchables,112,57,8.6,comedy
Taare Zameen Par,165,42,8.5,drama
The Dark Knight Rises,164,78,8.5,action
The Departed,151,85,8.5,drama
The Lives of Others,137,89,8.5,drama
The Prestige,130,66,8.5,drama
Whiplash,107,88,8.5,drama
3 Idiots,170,67,8.4,comedy
Django Unchained,165,81,8.4,drama
Koe no katachi,129,80,8.4,drama
Bahubali: The Beginning,159,,8.3,action
Inglourious Basterds,153,69,8.3,drama
Jagten,115,76,8.3,drama
La La Land,128,93,8.3,comedy
Paint It Black,96,71,8.3,drama
Toy Story 3,103,92,8.3,comedy
Up,96,88,8.3,comedy
El secreto de sus ojos,129,80,8.2,drama
Gran Torino,116,,8.2,drama
Hacksaw Ridge,139,71,8.2,drama
Incendies,131,80,8.2,drama
Inside Out,95,94,8.2,comedy
Pan's Labyrinth,118,98,8.2,drama
PK,153,51,8.2,comedy
Room,118,86,8.2,drama
The Wolf of Wall Street,180,75,8.2,comedy
Warrior,140,71,8.2,action
12 Years a Slave,134,96,8.1,drama
Ah-ga-ssi,144,84,8.1,drama
Gone Girl,149,79,8.1,drama
Guardians of the Galaxy,121,76,8.1,action
Hachi: A Dog's Tale,93,61,8.1,drama
Harry Potter and the Deathly Hallows: Part 2,130,87,8.1,drama
How to Train Your Dragon,98,74,8.1,action
Into the Wild,148,73,8.1,drama
Lion,118,69,8.1,drama
Mad Max: Fury Road,120,90,8.1,action
Mommy,139,74,8.1,drama
No Country for Old Men,122,91,8.1,drama
Prisoners,153,74,8.1,drama
Relatos salvajes,122,77,8.1,comedy
Rush,123,75,8.1,action
Spotlight,128,93,8.1,drama
Star Wars: Episode VII - The Force Awakens,136,81,8.1,action
The Avengers,143,69,8.1,action
The Bourne Ultimatum,115,85,8.1,action
The Grand Budapest Hotel,99,88,8.1,comedy
The Help,146,62,8.1,drama
The Imitation Game,114,73,8.1,drama
There Will Be Blood,158,92,8.1,drama
Twin Peaks: The Missing Pieces,91,,8.1,drama
Zootopia,108,78,8.1,comedy
Arrival,116,81,8,drama
Black Swan,108,79,8,drama
Blood Diamond,143,64,8,drama
Casino Royale,144,80,8,action
Dallas Buyers Club,117,84,8,drama
Deadpool,108,65,8,action
District 9,112,81,8,action
Forushande,124,85,8,drama
Her,126,90,8,drama
Ratatouille,111,96,8,comedy
Sing Street,106,79,8,comedy
Slumdog Millionaire,120,86,8,drama
Star Trek,127,82,8,action
The King's Speech,118,88,8,drama
The Martian,144,80,8,drama
The Perks of Being a Wallflower,102,67,8,drama
The Pursuit of Happyness,117,64,8,drama
The Revenant,156,76,8,drama
X-Men: Days of Future Past,132,74,8,action
Boyhood,165,100,7.9,drama
Captain America: Civil War,147,75,7.9,action
Captain Fantastic,118,72,7.9,comedy
Children of Men,109,84,7.9,drama
Edge of Tomorrow,113,71,7.9,action
Hot Fuzz,121,81,7.9,action
How to Train Your Dragon 2,102,76,7.9,action
Hunt for the Wilderpeople,101,81,7.9,comedy
"I, Daniel Blake",100,77,7.9,drama
In Bruges,107,67,7.9,comedy
Iron Man,126,79,7.9,action
Life of Pi,127,79,7.9,drama
Manchester by the Sea,137,96,7.9,drama
Moon,97,67,7.9,drama
Mr. Nobody,141,63,7.9,drama
Nightcrawler,118,76,7.9,drama
