id,address,area,bedrooms,postal_code,posting_date,price,property_type,rooms,sale_date,url,year_built
0,Knollendamstraat 4 III/IV,108,2,1013 TN,4-6-2016,510000,apartment,3,23-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49878073-knollendamstraat-4-iii-iv/,1906
1,Moerdijkstraat 47 1,47,1,1079 XM,22-6-2016,215000,apartment,2,5-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49880733-moerdijkstraat-47-1/,1938
2,Zeeburgerdijk 349,116,2,1095 AD,9-6-2016,325000,apartment,3,8-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49874422-zeeburgerdijk-349/,2003
3,Brederodestraat 124 -1,58,2,1054 VH,14-5-2016,315000,apartment,3,2-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49734603-brederodestraat-124-1/,1910
4,Admiraal De Ruijterweg 409 III,63,1,1055 MD,14-6-2016,200000,apartment,3,23-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49888139-admiraal-de-ruijterweg-409-iii/,1906
5,Bertrand Russellstraat 46,125,2,1097 HL,20-5-2016,515000,apartment,3,9-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49748362-bertrand-russellstraat-46/,1991
6,Admiraal De Ruijterweg 417 I,64,3,1055 ME,14-6-2016,200000,apartment,4,23-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49889476-admiraal-de-ruijterweg-417-i/,1906
7,Deltastraat 10 -boven,155,3,1078 PC,24-5-2016,599000,apartment,5,9-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49742783-deltastraat-10-boven/,1906
8,Ben van Meerendonkstraat 49,85,2,1087 LB,21-5-2016,249000,apartment,3,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49742656-ben-van-meerendonkstraat-49/,2007
9,Jacob van Lennepstraat 263 B,67,2,1053 JE,13-5-2016,300000,apartment,3,27-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49722086-jacob-van-lennepstraat-263-b/,1900
10,Spaarndammerdijk 581,100,3,1014 AC,10-6-2016,445000,house,4,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49885937-spaarndammerdijk-581/,1988
11,Van Reigersbergenstraat 47 II,43,1,1052 SR,7-5-2016,179000,apartment,2,25-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49736447-van-reigersbergenstraat-47-ii/,1899
12,Bestevâerstraat 193 I,49,2,1055 TL,10-6-2016,200000,apartment,3,1-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49874610-bestevaerstraat-193-i/,1925
13,Tweede Boerhaavestraat 70 III,65,2,1091 AR,19-2-2016,339000,apartment,3,15-3-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49643782-tweede-boerhaavestraat-70-iii/,1912
14,Bestevâerstraat 158 II,46,2,1055 TR,1-6-2016,200000,apartment,3,22-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49863238-bestevaerstraat-158-ii/,1924
15,Haarlemmerplein 24 -B,74,2,1013 HS,13-3-2016,375000,apartment,3,25-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49776661-haarlemmerplein-24-b/,2012
16,Minervalaan 69 II,130,3,1077 NR,5-7-2016,665000,apartment,4,10-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-85266899-minervalaan-69-ii/,1929
17,Domselaerstraat 21 II,58,2,1093 JM,18-6-2016,289000,apartment,3,6-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49884051-domselaerstraat-21-ii/,1906
18,Abbenesstraat 10 II,66,3,1059 TD,16-3-2016,300000,apartment,4,8-4-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49778322-abbenesstraat-10-ii/,1935
19,Gibraltarstraat 32 -1,59,3,1055 NP,23-6-2016,225000,apartment,4,11-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49899201-gibraltarstraat-32-1/,1938
20,Leksmondhof 194,70,1,1108 EW,10-10-2015,125000,apartment,2,20-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49528685-leksmondhof-194/,1979
21,Slichtenhorststraat 10,114,3,1107 VH,18-9-2015,234500,house,4,3-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-85957442-slichtenhorststraat-10/,1983
22,Isabella Richaardsstraat 46,112,3,1103 MA,17-4-2016,219000,house,4,3-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-85170960-isabella-richaardsstraat-46/,1998
23,Eerste Jan van der Heijdenstraat 34 a,90,2,1072 TV,31-5-2016,535000,apartment,3,9-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49862997-eerste-jan-van-der-heijdenstraat-34-a/,1906
24,Cornelis van Alkemadestraat 21,147,6,1065 AA,14-5-2016,295000,house,7,10-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/huis-49734198-cornelis-van-alkemadestraat-21/,1956
25,Van Suchtelen van de Haarestraat 28 K,107,3,1068 GV,26-2-2016,260000,apartment,4,1-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49759354-van-suchtelen-van-de-haarestraat-28-k/,2000
26,Albert Cuypstraat 101 4a,24,1,1072 CR,23-6-2016,170000,apartment,1,27-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49899310-albert-cuypstraat-101-4a/,1906
27,Rustenburgerstraat 298 hs,127,3,1073 GM,25-5-2016,825000,apartment,4,4-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49855033-rustenburgerstraat-298-hs/,1906
28,Keizersgracht 32 E,112,2,1015 CR,21-4-2016,950000,apartment,3,13-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49711665-keizersgracht-32-e/,1993
29,Keizersgracht 32 E*,112,2,1015 CR,22-4-2016,825000,apartment,3,24-5-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49711396-keizersgracht-32-e/,1993
30,Albert Cuypstraat 101 5a,24,1,1072 CR,23-6-2016,190000,apartment,1,4-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49899327-albert-cuypstraat-101-5a/,1906
31,Hogeweg 38,152,4,1098 CD,13-7-2016,1060,apartment,6,11-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49819086-hogeweg-38/,1898
32,Overtoom 34 II,129,3,1054 HK,2-12-2015,695000,apartment,4,29-1-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49679343-overtoom-34-ii/,1896
33,Binnengasthuisstraat 44,52,1,1012 ZD,9-6-2016,259000,apartment,2,12-7-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49871385-binnengasthuisstraat-44/,1987
34,Eikenweg 58 D,86,1,1092 CB,7-6-2016,395000,apartment,2,17-6-2016,http://www.funda.nl/koop/verkocht/amsterdam/appartement-49870135-eikenweg-58-d/,1991
