id,gender,instagram_followers,linkedin_con,phones_owned,apps_phone,os_phone,like_social,like_tech
1,Male,0,790,6,51,Android,Neutral,Agree
3,Female,680,174,6,122,iOS,Agree,Agree
4,Female,150,100,7,65,iOS,Neutral,Agree
6,Female,541,254,6,56,iOS,Neutral,Agree
7,Female,829,755,5,73,iOS,Agree,Agree
9,Female,530,62,7,125,iOS,Agree,Agree
10,Female,120,50,1,10,iOS,Agree,Agree
11,Female,32,84,2,38,Android,Neutral,Agree
13,Female,478,33,6,81,Android,Neutral,Agree
15,Male,102,256,8,97,Android,Disagree,Strongly agree
17,Female,479,127,8,141,iOS,Agree,Strongly agree
19,Female,0,201,7,80,Android,Disagree,Agree
20,Male,200,309,5,156,iOS,Neutral,Strongly agree
22,Female,272,315,6,91,iOS,Neutral,Agree
26,Male,137,620,12,90,iOS,Neutral,Agree
28,Male,364,385,6,45,iOS,Agree,Agree
30,Female,255,90,5,25,iOS,Neutral,Agree
31,Female,3078,2000,10,312,Android,Neutral,Agree
32,Female,899,500,6,70,iOS,Agree,Agree
33,Male,0,200,6,20,Android,Neutral,Agree
34,Female,1338,82,11,18,iOS,Neutral,Agree
35,Male,116,0,6,127,iOS,Neutral,Agree
36,Male,269,230,5,130,Android,Agree,Agree
37,Male,685,1569,13,120,iOS,Agree,Agree
38,Male,144,54,3,30,Android,Neutral,Agree
39,Female,119,0,4,55,iOS,Agree,Neutral
40,Female,0,312,5,80,iOS,Agree,Agree
41,Male,217,204,6,50,Android,Agree,Agree
42,Female,138,118,7,162,Android,Agree,Agree
43,Female,219,254,3,57,iOS,Agree,Agree
44,Female,1292,53,7,60,iOS,Agree,Agree
45,Female,439,147,8,102,iOS,Agree,Agree
46,Male,0,45,10,20,Android,agree,Strongly agree
47,Female,748,603,7,122,IOS,agree,Agree
48,Female,239,176,5,71,Android,Agree,Agree
49,Female,1093,429,8,35,Android,Agree,Strongly agree
50,Female,115,84,7,50,iOS,Disagree,Agree
51,Female,422,348,6,69,iOS,Agree,Agree
52,Female,327,571,7,140,IOS,Agree,Agree
53,Female,0,,6,30,iOS,Disagree,Agree
54,Male,463,466,7,88,iOS,Agree,Agree
55,Female,0,601,7,30,iOS,Disagree,Agree
56,Male,61000,328,10,328,Android,Disagree,Agree
57,Female,,,,,,,
58,Female,364,500,6,75,iOS,Agree,Agree
59,Female,300,1000,15,,iOS,Agree,Agree
60,Male,360,350,6,130,iOS,Agree,
61,Female,219,93,,,IOS,,
